artifact_dir,test_id,timestamp,interface_name,interface_type,interface_device,mac_address,link_speed,ssid,bssid,last_tx_rate_mbps,channel,tcp_dl_mbps,tcp_ul_mbps,udp_dl_mbps,udp_dl_jitter_ms,udp_dl_packet_loss_pct,udp_ul_mbps,udp_ul_jitter_ms,udp_ul_packet_loss_pct,ping_wan_mean_ms,ping_wan_std_ms,label
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_095117_20251105_095117,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_095117,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,0.823367008971969,1.46687631848424,4.990207534145774,2.0155173090819862,6.666666666666667,5.001212504022692,2.4669566059886945,0.738724727838258,58.70684,26.79269578585427,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_095302_20251105_095302,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_095302,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.426506473668049,1.8855015212386008,4.997277052367219,3.237929337731746,4.780876494023905,5.001456401638097,2.4040280540430374,0.7390120575651498,71.59882608695652,35.1724208974384,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_095452_20251105_095452,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_095452,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.0312509834775767,1.675982600453769,4.99385659116302,2.263605666494527,4.58167330677291,5.00141044625752,2.5404282361553356,0.7776049766718507,68.31072727272728,29.893282024692308,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_095638_20251105_095638,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_095638,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,3.7187319044386897,1.8854883363532127,4.9958905554260475,2.1252795717181487,1.761252446183953,5.00136338894739,2.65704744526895,0.23337222870478413,59.83613636363636,31.728125484970636,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_095824_20251105_095824,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_095824,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.6449999195992986,1.887189200776858,4.996673273472712,2.9672952603728966,3.91304347826087,4.9997534135438695,2.2776869721763346,0.38880248833592534,71.85432,38.23045270322251,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_100008_20251105_100008,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_100008,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.4246530674354843,1.0475286808249114,4.99278984719768,3.251359116070709,7.975460122699387,5.0011523729825225,2.7394371741523162,7.07895760404512,67.68731818181818,42.098390305598514,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_100154_20251105_100154,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_100154,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,0.8067205685179055,1.0474723830971688,4.9959109706341565,3.7492264828045956,9.5703125,5.001417395894991,2.015209143429773,0.46674445740956827,63.34325,36.40337684915699,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_100341_20251105_100341,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_100341,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,,,,,,,,,,,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_102723_20251105_102723,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_102723,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,3.636095471363561,1.4675171297889282,4.989865313108382,3.4112549290041643,12.936344969199178,5.000955830405637,2.691466557975017,0.6218422075398368,68.13754545454546,40.692069752421425,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_102908_20251105_102908,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_102908,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.6521977876965488,2.306020429298362,5.000819167619746,2.623695444842313,7.2,5.000886888101654,2.178185514702966,0.6607073455110766,62.98404347826087,39.92938109676571,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_103054_20251105_103054,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_103054,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,3.6795296282722108,1.8854977541096734,4.988090757424355,3.5187449413594427,1.9067796610169492,5.00115337301619,2.07750075252562,0.31116297160637885,79.3032,39.485923881808816,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_103239_20251105_103239,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_103239,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.8480254398643645,0.6284961121177375,4.99181165687585,2.668011329172052,8.22784810126582,5.001387391891216,1.9459510690519282,0.5056398288603656,72.26008333333334,52.14235191816697,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_103428_20251105_103429,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_103429,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,2.06330309998414,1.6759722201965586,4.99950176344356,2.8545344303878966,2.748414376321353,5.000825940691305,3.6112217642264346,0.8161678973960358,72.79533333333333,43.1654791900906,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_103613_20251105_103613,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_103613,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.0292356332162338,1.676038522116091,4.9996433150193775,3.1489260140084063,6.0,5.001415445001637,6.558748566245542,0.6998444790046656,65.93820833333334,34.865091381518944,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
